open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1556496000000,4.755,4.755,3.661,3.777,1579303.101,1556582399999,6385624.011681,15098,576148.889,2310786.39142,0
1556582400000,3.777,4.075,3.75,3.917,638430.339,1556668799999,2497699.912331,9183,313331.207,1226633.433599,0
1556668800000,3.913,4.65,3.876,4.392,1702261.315,1556755199999,7428961.209108,29530,759667.936,3308771.654432,0
1556755200000,4.391,4.661,4.174,4.61,1133146.033,1556841599999,5041541.354905,19905,500237.897,2231370.080901,0
1556841600000,4.608,5.38,4.55,5.333,2774683.236,1556927999999,13822797.787285,51121,1265318.22,6297378.718835,0
1556928000000,5.341,5.66,4.706,5.243,3500511.251,1557014399999,18198056.247087,61475,1625908.376,8473875.922258,0
1557014400000,5.238,5.238,4.774,4.837,1544214.974,1557100799999,7652043.951899,26346,716968.657,3557359.510683,0
1557100800000,4.838,4.94,4.502,4.763,1395933.412,1557187199999,6558220.970533,23059,614375.48,2890164.646143,0
1557187200000,4.763,5.071,4.59,4.596,1104548.01,1557273599999,5326560.006073,21032,469349.796,2269594.347847,0
1557273600000,4.601,4.635,4.242,4.313,1025911.947,1557359999999,4565487.34664,17438,440755.373,1963246.85602,0
1557360000000,4.342,4.491,3.415,3.88,1848165.513,1557446399999,7171406.387957,37773,824087.838,3195651.287499,0
1557446400000,3.884,4.114,3.611,3.797,1403065.556,1557532799999,5404000.988684,28532,659442.891,2545963.868922,0
1557532800000,3.804,4.175,3.7,3.902,1421951.65,1557619199999,5652623.791888,21412,640101.2,2550004.771736,0
1557619200000,3.904,4.04,3.604,3.75,828353.863,1557705599999,3187735.941642,13504,371027.765,1430033.674963,0
1557705600000,3.75,4.173,3.734,3.897,1023379.117,1557791999999,4070693.873098,16524,523050.577,2085387.331814,0
1557792000000,3.897,4.087,3.779,4.0,1214232.757,1557878399999,4765340.493813,18457,494953.087,1943764.802451,0
1557878400000,4.0,4.8,3.986,4.547,1592045.388,1557964799999,6934141.167833,26490,814376.407,3543986.925606,0
1557964800000,4.546,4.78,4.0,4.278,1678626.34,1558051199999,7287284.965834,31666,818676.36,3559744.288969,0
1558051200000,4.268,4.792,3.95,4.413,2800485.785,1558137599999,12422339.763761,54951,1295488.819,5761131.350143,0
1558137600000,4.413,5.0,4.33,4.684,1869590.999,1558223999999,8791708.71698,36732,858776.366,4033116.939283,0
1558224000000,4.684,5.171,4.636,4.852,1758978.665,1558310399999,8654246.083242,39128,799557.778,3937168.621849,0
1558310400000,4.852,4.863,4.432,4.673,1532786.286,1558396799999,7173289.533783,35161,683935.419,3204048.508363,0
1558396800000,4.668,4.864,4.48,4.743,1172703.704,1558483199999,5441442.097375,26601,543300.182,2523867.487076,0
1558483200000,4.74,4.821,4.3,4.306,997542.191,1558569599999,4502530.392546,22162,401134.082,1814012.052207,0
1558569600000,4.309,4.363,4.115,4.337,976154.051,1558655999999,4121770.882865,19374,435246.201,1839471.991767,0
1558656000000,4.335,4.77,4.258,4.454,2054989.883,1558742399999,9307135.124716,39368,815914.382,3699866.182268,0
1558742400000,4.447,4.6,4.287,4.385,606239.443,1558828799999,2711262.274397,12111,277499.718,1244909.259276,0
1558828800000,4.385,4.543,4.238,4.481,549918.061,1558915199999,2405739.019274,12660,240810.346,1053798.801373,0
1558915200000,4.478,4.699,4.47,4.655,660167.301,1559001599999,3021798.990361,14063,308025.917,1409317.302334,0
1559001600000,4.665,4.863,4.474,4.778,650998.4,1559087999999,3026974.884803,14676,332494.676,1550119.548295,0
1559088000000,4.794,4.873,4.5,4.696,598479.755,1559174399999,2796012.971685,13479,242997.195,1135005.543361,0
1559174400000,4.682,6.603,4.668,5.926,5953590.293,1559260799999,34435758.017495,105213,2820583.089,16303611.219213,0
1559260800000,5.928,5.93,5.211,5.782,3477721.866,1559347199999,19427539.042429,47748,1583808.425,8855780.949757,0
1559347200000,5.782,6.325,5.6,5.771,2589194.836,1559433599999,15565352.435135,39034,1200867.234,7216977.675993,0
1559433600000,5.773,6.42,5.572,6.388,1467150.229,1559519999999,8810730.73041,24551,729990.165,4393328.070609,0
1559520000000,6.393,7.249,5.975,6.506,4684919.331,1559606399999,31103810.856329,95338,2318741.668,15407597.402953,0
1559606400000,6.506,6.85,5.744,5.93,3360461.824,1559692799999,21202786.917736,62396,1469645.563,9319141.731233,0
1559692800000,5.931,6.28,5.62,6.14,2180411.467,1559779199999,13071905.691624,39856,1084248.318,6501163.3919,0
1559779200000,6.141,6.147,5.621,5.987,1767183.832,1559865599999,10480803.466179,31965,871672.577,5149457.981603,0
1559865600000,5.995,6.576,5.877,6.279,1848141.276,1559951999999,11597347.99047,31648,898016.379,5644786.014311,0
1559952000000,6.279,6.316,5.938,6.096,731554.535,1560038399999,4467665.475805,17168,355875.066,2174117.911675,0
1560038400000,6.097,6.185,5.7,5.826,649287.697,1560124799999,3831694.895083,17875,276897.059,1636824.439594,0
1560124800000,5.825,6.088,5.733,6.081,831823.182,1560211199999,4922402.818726,22076,428906.306,2537973.926996,0
1560211200000,6.076,6.176,5.753,5.943,561299.087,1560297599999,3320519.145848,15702,266656.545,1581718.685767,0
