open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1675641600000,2.977,3.269,2.371,2.504,130477248.29,1676246399999,364338004.45006,1154558,63611680.25,177920737.92206,0
1676246400000,2.504,3.248,2.304,2.829,144325560.55,1676851199999,407701270.94769,1106719,70573284.56,199350940.03184,0
1676851200000,2.828,2.979,2.5,2.857,105273367.41,1677455999999,287122165.83793,1110293,53390839.38,145734044.94289,0
1677456000000,2.856,3.298,2.295,2.414,137478676.92,1678060799999,390489318.46763,1316768,66060664.45,188359892.98232,0
1678060800000,2.415,2.499,1.753,2.233,150239489.37,1678665599999,309169536.10961,916858,73430620.59,150992683.87746,0
1678665600000,2.233,3.01,2.108,2.733,168295790.13,1679270399999,426873889.14315,1537201,84738460.05,215215849.7369,0
1679270400000,2.734,2.854,2.239,2.381,103515284.95,1679875199999,261635703.56667,1015927,50237689.75,127043753.70626,0
1679875200000,2.38,2.613,2.134,2.424,98800698.26,1680479999999,240483095.95072,732852,49241790.84,119977326.18228,0
1680480000000,2.424,2.718,2.291,2.456,66253182.37,1681084799999,166576183.5778,598267,32164570.46,80885329.95602,0
1681084800000,2.456,2.949,2.377,2.851,63148674.08,1681689599999,168279247.83329,581742,31376746.44,83758686.61257,0
1681689600000,2.85,3.2,2.34,2.407,94705158.41,1682294399999,266280470.06625,874571,46696626.45,131582874.71833,0
1682294400000,2.407,2.779,2.373,2.666,60776102.06,1682899199999,156549079.01583,601837,30715941.84,79196163.46391,0
