open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,0.9987,1.0046,0.9914,0.9992,13857317255.77,1612137599999,13846789085.450321,13468705,6829963760.7,6825341703.313927,0
1612137600000,0.9991,1.0027,0.9967,0.9982,24084670166.18,1614556799999,24073544209.402714,16166442,12295870631.93,12290883465.467731,0
1614556800000,0.9982,1.0014,0.998,0.9997,23334446716.45,1617235199999,23332151047.694298,14758498,11315766605.53,11315118920.120468,0
1617235200000,0.9996,1.004,0.97,0.999,43408065465.97,1619827199999,43386981401.522675,18749804,21310816887.6,21301701010.92272,0
1619827200000,0.9989,1.0029,0.9883,0.9997,57930116765.2,1622505599999,57871424789.62759,22705471,28698015882.46,28670545215.79483,0
1622505600000,0.9997,1.0013,0.999,0.9998,28267319957.05,1625097599999,28262156905.937557,10940503,13842387965.39,13840283376.812086,0
1625097600000,0.9998,1.0006,0.9992,0.9994,20806575515.68,1627775999999,20803513508.865482,9179741,10137676600.4,10136503036.599,0
1627776000000,0.9993,1.0003,0.999,0.9997,27441042009.26,1630454399999,27431285733.361843,14247144,13633863107.42,13629548899.429934,0
1630454400000,0.9997,1.0005,0.9988,0.9999,31210288368.42,1633046399999,31202251314.639637,16887149,15558393384.0,15555010419.4348,0
1633046400000,1.0,1.001,0.9979,0.9993,31026394212.47,1635724799999,31020703621.188293,15956741,15264917574.35,15262632785.780483,0
1635724800000,0.9993,1.0001,0.9986,0.9993,36125345652.0,1638316799999,36105178881.812,19470089,17578249776.0,17568992864.041,0
1638316800000,0.9992,1.0003,0.9888,1.0,26043460838.56,1640995199999,26026314437.009357,14703890,13028253803.77,13020170027.508429,0
1640995200000,1.0,1.0004,0.9993,0.9997,20660543015.0,1643673599999,20656591509.3861,12089512,9832248543.0,9830707948.7425,0
1643673600000,0.9996,0.9998,0.9991,0.9996,14663228481.0,1646092799999,14655396763.4822,8584580,7097337868.0,7093829322.7243,0
1646092800000,0.9996,1.0002,0.9992,0.9997,17930761667.0,1648771199999,17924649375.1703,10857274,8658478908.0,8655856908.7529,0
1648771200000,0.9998,1.0003,0.9995,0.9998,16841197407.0,1651363199999,16838588008.129,10120858,8388580998.0,8387608028.1801,0
1651363200000,0.9999,1.1,0.9997,1.0007,36069878677.25,1654041599999,36171070880.71027,19120990,17937870750.63,17988129851.88101,0
1654041600000,1.0008,1.0042,1.0005,1.0013,23027402987.0,1656633599999,23054122417.6307,11166079,11611744003.0,11625589191.4129,0
1656633600000,1.0013,1.0014,0.9996,0.9996,16935194970.0,1659311999999,16941306508.3141,10442213,7693857554.0,7696995953.5393,0
1659312000000,0.9996,1.0002,0.9993,1.0,15597184958.0,1661990399999,15594757512.3117,9172900,7582335228.0,7581429239.9705,0
1661990400000,1.0001,1.0002,0.9995,1.0,17254238888.0,1664582399999,17253277731.1646,11290455,8666972274.0,8666854125.9562,0
1664582400000,1.0,1.0004,0.9996,1.0001,17151896834.0,1667260799999,17150356901.5766,10260226,8447232158.0,8446765037.0045,0
1667260800000,1.0001,1.032,0.9993,1.0,35333950114.0,1669852799999,35388892877.7882,18548417,17815999150.0,17845421991.2376,0
1669852800000,0.9999,1.0006,0.9989,1.0004,18088126617.0,1672531199999,18087458754.1995,9276221,9028272954.0,9028465736.5526,0
1672531200000,1.0005,1.0006,0.9995,0.9999,23463083844.0,1675209599999,23462522252.3747,14282898,12318472765.0,12318577612.7713,0
1675209600000,1.0,1.0001,0.995,0.9998,24935380232.0,1677628799999,24927497254.8023,19237980,12402118098.0,12398818053.9107,0
1677628800000,0.9999,1.0003,0.9873,0.9997,17970194135.0,1680307199999,17938147461.2518,15151152,8811341408.0,8795694537.2945,0
1680307200000,0.9996,1.0001,0.9988,0.9995,8968654056.0,1682899199999,8964602557.4587,10832827,4192419477.0,4190690326.1897,0
