open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1600756200000,0.85,6.0,0.85,4.18,1013250.05,1600756499999,4330694.993418,6541,505632.9,2178621.215841,0
1600756500000,4.1704,4.988,4.0487,4.8342,501292.8,1600756799999,2260420.620476,4644,256056.87,1155499.94608,0
1600756800000,4.8342,5.5715,4.658,5.4,532594.99,1600757099999,2711306.302268,5372,315187.2,1608077.516391,0
1600757100000,5.3997,5.6508,5.1331,5.5494,390045.88,1600757399999,2116642.945008,4739,196607.09,1070673.126681,0
1600757400000,5.5494,5.6489,5.1599,5.2,314966.91,1600757699999,1686962.562489,3596,155586.25,837121.878606,0
1600757700000,5.2488,5.249,4.6,4.8811,446222.04,1600757999999,2171583.80038,4812,200166.22,977123.545336,0
1600758000000,4.88,4.9336,4.245,4.3388,381846.39,1600758299999,1740823.382938,3862,197011.15,895160.625443,0
1600758300000,4.3491,4.7516,4.3,4.42,408338.33,1600758599999,1847452.176628,4473,185568.47,840651.713171,0
1600758600000,4.4183,4.55,4.25,4.4593,183680.36,1600758899999,812945.649571,2569,82582.06,367007.454364,0
1600758900000,4.4497,5.2274,4.4401,5.0713,341087.18,1600759199999,1690907.785813,3427,180303.16,889622.984782,0
1600759200000,5.0713,5.35,4.9002,5.2102,286875.19,1600759499999,1488201.294936,3400,183012.71,950754.845699,0
1600759500000,5.2102,5.2132,4.6666,4.9312,312808.84,1600759799999,1526638.6422,3728,132010.59,643890.945661,0
1600759800000,4.9141,5.15,4.8443,4.9791,209751.19,1600760099999,1050865.585926,2901,131413.7,658099.434446,0
1600760100000,4.9772,5.1185,4.8085,5.0074,228559.43,1600760399999,1143076.005351,2340,155329.29,776832.173495,0
1600760400000,5.0073,5.008,4.5662,4.6118,235876.29,1600760699999,1122554.840045,2783,113691.68,541033.195963,0
1600760700000,4.6118,4.9448,4.6,4.9226,151958.4,1600760999999,729140.831891,1983,84634.03,406393.637019,0
1600761000000,4.9223,5.1999,4.859,5.0115,288599.79,1600761299999,1453808.82913,2825,140748.71,708655.089762,0
1600761300000,5.01,5.0364,4.857,4.9096,141632.21,1600761599999,702797.400066,1572,66335.69,329034.908322,0
1600761600000,4.9096,5.0595,4.82,4.99,126117.72,1600761899999,627333.40072,1388,72910.36,362859.044214,0
1600761900000,4.99,5.25,4.95,5.2382,180980.78,1600762199999,925723.038175,1509,122302.87,627257.327913,0
1600762200000,5.2383,5.3879,5.1105,5.2952,227457.81,1600762499999,1191117.031117,2670,140895.94,738435.100367,0
1600762500000,5.2897,5.4499,5.16,5.2567,304984.35,1600762799999,1626862.364076,3313,188335.21,1006219.125842,0
1600762800000,5.2567,5.3299,5.1996,5.2177,106048.22,1600763099999,558381.700658,1433,53647.84,282539.119829,0
1600763100000,5.2177,5.43,5.2111,5.3951,154939.97,1600763399999,828846.491051,1792,106368.61,568756.483992,0
1600763400000,5.3917,5.8184,5.3373,5.76,321523.07,1600763699999,1789403.010589,3581,226965.31,1263926.193826,0
1600763700000,5.7599,6.5317,5.6304,6.3302,619338.57,1600763999999,3793462.680659,6684,312246.04,1909595.02413,0
1600764000000,6.336,6.7296,6.3,6.6309,498137.54,1600764299999,3252289.371023,6413,281958.47,1842961.760478,0
1600764300000,6.631,6.8,6.1555,6.3767,552348.06,1600764599999,3570268.618597,6257,267045.75,1734839.658129,0
1600764600000,6.3659,6.3906,6.1207,6.3043,211797.19,1600764899999,1320513.068985,3136,104083.46,649598.962157,0
1600764900000,6.3238,6.9289,6.3114,6.8219,580308.15,1600765199999,3869840.736705,5570,316295.89,2107420.112974,0
1600765200000,6.8299,7.0,6.653,6.6656,408425.9,1600765499999,2807162.896134,4054,216718.89,1493574.347903,0
1600765500000,6.6531,6.6863,5.55,6.3148,702135.24,1600765799999,4417549.811107,7989,287396.93,1823548.521555,0
1600765800000,6.3441,6.52,6.12,6.3885,324883.82,1600766099999,2058081.628253,3829,194986.28,1234721.098631,0
1600766100000,6.3726,6.3916,5.9349,6.0,293174.91,1600766399999,1797606.666242,3777,154922.12,952124.587261,0
1600766400000,6.0,6.2265,5.91,6.0139,282902.19,1600766699999,1717452.097733,3222,118278.9,717151.726276,0
1600766700000,6.0351,6.624,6.0111,6.4488,527301.68,1600766999999,3387399.568401,3702,334253.25,2145763.649602,0
1600767000000,6.4496,6.521,6.1521,6.3162,216746.68,1600767299999,1372023.239821,2032,139986.63,886498.676086,0
1600767300000,6.3162,6.41,6.0503,6.3,351839.73,1600767599999,2206963.11485,2531,92337.72,577679.864843,0
1600767600000,6.3,6.335,6.0898,6.1115,155851.65,1600767899999,964204.974793,1337,84871.89,525722.87707,0
1600767900000,6.0827,6.3544,6.072,6.2831,166976.77,1600768199999,1043052.576159,1669,117011.49,730412.993275,0
1600768200000,6.2841,6.5,6.2569,6.2894,151963.65,1600768499999,972705.3919,2291,83812.04,536775.973614,0
